French,English
lundi, Monday
mardi, Tuesday
jeudi, Thursday
vendredi, Friday
samedi, Saturday
dimanche, Sunday
janvier, January
février, February
mars, March
avril, April
mai, May
juin, June
juillet, July
août, August
septembre, September
octobre, October
novembre, November
décembre, December
le printemps, spring
l'été, summer
l'automne, autumn
l'hiver, winter
